track,note,start,end
1,52,118560,118800
1,45,118560,118800
1,40,118560,118800
2,33,118560,118800
3,42,118560,119040
1,64,118800,119040
1,61,118800,119040
1,40,118800,119040
2,33,118800,119040
1,57,118980,119040
1,52,118980,119040
1,45,118980,119040
1,64,119040,119760
1,59,119040,119760
1,52,119040,119760
1,64,119040,119760
2,40,119040,119760
3,57,119040,119520
3,35,119040,119520
3,57,119520,120000
3,38,119520,120000
1,64,119760,120000
1,59,119760,120000
1,52,119760,120000
1,64,119760,120000
2,40,119760,119880
1,67,120000,120240
1,62,120000,120240
1,55,120000,120240
1,64,120000,120360
2,43,120000,120120
3,57,120000,120480
3,35,120000,120480
1,64,120360,120600
1,59,120360,120600
1,52,120360,120600
1,64,120360,120720
2,40,120360,120480
3,57,120480,120960
3,38,120480,120960
1,62,120720,120960
1,57,120720,120960
1,50,120720,120960
1,64,120720,120960
2,38,120720,120960
1,60,120960,121920
1,55,120960,121920
1,48,120960,121920
1,67,120960,121920
2,36,120960,121920
3,57,120960,121440
3,35,120960,121440
3,57,121440,121920
3,38,121440,121920
1,59,121920,122880
1,54,121920,122880
1,47,121920,122880
1,66,121920,122880
2,35,121920,122880
3,57,121920,122400
3,35,121920,122400
3,57,122400,122880
3,38,122400,122880
1,57,122820,122880
1,52,122820,122880
1,45,122820,122880
1,64,122880,123600
1,59,122880,123600
1,52,122880,123600
1,64,122880,123600
2,40,122880,123600
3,57,122880,123360
3,35,122880,123360
3,57,123360,123600
3,38,123360,123600
1,64,123600,123840
1,59,123600,123840
1,52,123600,123840
1,64,123600,123840
2,40,123600,123720
3,35,123600,123840
1,67,123840,124080
1,62,123840,124080
1,55,123840,124080
1,67,123840,124200
2,43,123840,123960
3,57,123840,124320
3,35,123840,124320
1,64,124200,124440
1,59,124200,124440
1,52,124200,124440
1,69,124200,124560
2,40,124200,124320
3,57,124320,124560
3,35,124320,124560
1,62,124560,124800
1,57,124560,124800
1,50,124560,124800
1,67,124560,124800
2,38,124560,124800
3,38,124560,124800
1,67,124800,124920
1,60,124800,125160
1,55,124800,125160
1,48,124800,125160
2,36,124800,125160
3,57,124800,125280
3,35,124800,125280
1,67,125040,125160
1,69,125160,125400
1,62,125160,125520
1,57,125160,125520
1,50,125160,125520
2,38,125160,125520
3,57,125280,125760
3,38,125280,125760
1,67,125520,125640
1,60,125520,125760
1,55,125520,125760
1,48,125520,125760
2,36,125520,125760
1,59,125760,126240
1,54,125760,126240
1,47,125760,126240
1,66,125760,126720
2,35,125760,126240
3,57,125760,126240
3,35,125760,126240
2,33,126240,126720
3,57,126240,126720
3,38,126240,126720
1,57,126660,126720
1,52,126660,126720
1,45,126660,126720
1,64,126720,127440
1,59,126720,127440
1,52,126720,127440
1,64,126720,127440
2,40,126720,127440
3,57,126720,127200
3,35,126720,127200
3,57,127200,127680
3,38,127200,127680
1,64,127440,127680
1,59,127440,127680
1,52,127440,127680
1,64,127440,127680
2,40,127440,127560
1,67,127680,127920
1,62,127680,127920
1,55,127680,127920
1,64,127680,128040
2,43,127680,127800
